"C_TYPE"	"C_OBJECT"	"C_DESCRIPTION"	"P_TYPE"	"P_OBJECT"	"P_DESCRIPTION"
"FLOC"	"DA-FI-54251"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-FI-54251"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FI-54253"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FI-54253"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-FI-54255"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FI-54255"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-FI-54257"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FI-54257"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-FIT-35001"	"FLOW TRANSM.:WI (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
"FLOC"	"DA-FIT-35001"	"FLOW TRANSM.:WI (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FIT-35004"	"FLOW TOTALIZES INDICATOR (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
"FLOC"	"DA-FIT-35004"	"FLOW TOTALIZES INDICATOR (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FIT-35005"	"FLOW TOTALIZES INDICATOR (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
"FLOC"	"DA-FIT-35005"	"FLOW TOTALIZES INDICATOR (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FIT-35007"	"FLOW TOTALIZES INDICATOR (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FIT-35007"	"FLOW TOTALIZES INDICATOR (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
"FLOC"	"DA-FL-0397"	"FIRELOCKER"	"SYST"	"DK.DA.B.003"	"FIRE WATER"
"FLOC"	"DA-FL-0397"	"FIRELOCKER"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-FLA-4601A"	"OOS, FLAME ARRESTOR"	"SYST"	"DK.DA.A.046"	"METHANOL SYSTEM"
"FLOC"	"DA-FLA-4601A"	"OOS, FLAME ARRESTOR"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FLA-4601B"	"OOS, FLAME ARRESTOR"	"SYST"	"DK.DA.A.046"	"METHANOL SYSTEM"
"FLOC"	"DA-FLA-4601B"	"OOS, FLAME ARRESTOR"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FLA-50006"	"FLAME ARRESTOR ON VENT LINE FROM V-5001"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FLA-50006"	"FLAME ARRESTOR ON VENT LINE FROM V-5001"	"SYST"	"DK.DA.A.050"	"SUMP & DRAIN"
"FLOC"	"DA-FO-40008"	"FLOW ORIFICE"	"SYST"	"DK.DA.A.040"	"FLARE AND VENT"
"FLOC"	"DA-FO-40008"	"FLOW ORIFICE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FP-3102"	"WELLHEAD CONTROL PANEL"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-FP-3102"	"WELLHEAD CONTROL PANEL"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FP-3103"	"EXTENSION PANEL FOR DA-FP-3102"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-FP-3103"	"EXTENSION PANEL FOR DA-FP-3102"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FP-3104"	"HI/LO PILOT PANEL FOR DA-FP-3103"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-FP-3104"	"HI/LO PILOT PANEL FOR DA-FP-3103"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FP-3108"	"WELLHEAD SOLENOID VALVE PANEL"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FP-3108"	"WELLHEAD SOLENOID VALVE PANEL"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-FP-3110"	"HYDRAULIC BOOSTER PANEL"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FP-3110"	"HYDRAULIC BOOSTER PANEL"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-FT-29008"	"TEMPORERY FLOW TRANSMITTER (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FT-29008"	"TEMPORERY FLOW TRANSMITTER (METERING)"	"SYST"	"DK.DA.A.029"	"GAS LIFT"
"FLOC"	"DA-FT-31342A"	" FILTER"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-FT-31342A"	" FILTER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FT-31342B"	"FILTER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FT-31342B"	"FILTER"	"SYST"	"DK.DA.A.031"	"WELLHEAD CONTROL"
"FLOC"	"DA-FY-29009"	"INTELLIGENT POSITIONER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FY-29009"	"INTELLIGENT POSITIONER"	"SYST"	"DK.DA.A.029"	"GAS LIFT"
"FLOC"	"DA-GVA-10101"	"GENERAL PLATFORM VISUAL ALARM"	"SYST"	"DK.DA.A.001"	"FIRE & GAS DETECTION"
"FLOC"	"DA-GVA-10101"	"GENERAL PLATFORM VISUAL ALARM"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-H2SAA-10120"	"RES. LUH/ISC  DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-H2SAA-10120"	"RES. LUH/ISC  DANH2S"	"SYST"	"DK.DA.A.001"	"FIRE & GAS DETECTION"
"FLOC"	"DA-HCV-29007"	"PLUG VALVE"	"SYST"	"DK.DA.A.033"	"MANIFOLDS AND FLOWLINES"
"FLOC"	"DA-HCV-29007"	"PLUG VALVE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-HCV-30523-I1"	"LO - HAND CONTROL VALVE PIT-30523"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-HCV-30523-I1"	"LO - HAND CONTROL VALVE PIT-30523"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-HCV-30523-I2"	"LO - HAND CONTROL VALVE PIT-30523"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-HCV-30523-I2"	"LO - HAND CONTROL VALVE PIT-30523"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-HCV-30523-I3"	"LO - HAND CONTROL VALVE PIT-30523"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-HCV-30523-I3"	"LO - HAND CONTROL VALVE PIT-30523"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-HCV-30804"	"HAND CONTROL VALVE"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-HCV-30804"	"HAND CONTROL VALVE"	"LOCA"	"DAAY"	"GENERAL                                 "
