"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"process column","adsorber column","A physical fluid separator that is based on the principle of attraction exhibited by the surface of a solid for a liquid or a gas when they are in contact.","no","CFIHOS-30000802","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0013;CR0029;FR60","STANDARD"
"circuit-breaker","air circuit-breaker","A circuit-breaker in which the contacts open and close in air at atmospheric pressure.","no","CFIHOS-30000803","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0012;CR0029;FR60","STANDARD"
"electric generator","alternating current generator","An electric generator for the production of alternating current and voltage.","no","CFIHOS-30000804","yes","BP Tagging Specification","AC electric generator; AC generator","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0009;CR0029;FR60","STANDARD"
"electric motor","alternating current motor","An electric motor driven by alternating electric current.","no","CFIHOS-30000805","yes","BP Tagging Specification","AC electric motor;AC induction electric motor;AC synchronous electric motor","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0009;CR0029;FR60","STANDARD"
"control valve","ball control valve","A ball valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.","no","CFIHOS-30000806","yes","Identified as part of RDL Alignment Activity","actuated ball valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"manual valve","ball valve","A rotary valve that has a ball closure member.","no","CFIHOS-30000807","yes","Identified as part of RDL Alignment Activity",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"manual valve","block and bleed valve","A valve that has one seat which provides a seal, and a bleeder line and valve that are tapped into the block valve's bonnet.","no","CFIHOS-30000808","yes","Identified as part of RDL Alignment Activity",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"control valve","butterfly control valve","A butterfly valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.","no","CFIHOS-30000809","yes","Identified as part of RDL Alignment Activity","actuated butterfly valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"manual valve","butterfly valve","A rotary valve that has a closure member of a disc type with a shaft parallel, or near parallel, to the plane of the disc, with an axis of rotation transverse to the flow direction.","no","CFIHOS-30000810","yes","Identified as part of RDL Alignment Activity",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"control valve","choke control valve","A choke valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.","no","CFIHOS-30000811","yes","Identified as part of RDL Alignment Activity","actuated choke valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"manual valve","choke valve","A valve that can be used to obstruct the fluid passing inside, and has the ability to reduce the pressure from the inlet port to the outlet port.","no","CFIHOS-30000812","yes","Identified as part of RDL Alignment Activity",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"analysing instrument","chromatograph","An analysing instrument that applies the principle of chromatography to analyse the molecular composition of a substance.","yes","CFIHOS-30000813","no","Owner Operator RDL Alignment",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0014;CR0029;FR60","STANDARD"
"process column","contactor column","A pressure vessel with internal packing intended to effect the main stream by introducing counter flow of a regenerative liquid or gas. Dehydration of gas by use of glycol is a typical application.","no","CFIHOS-30000814","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0013;CR0029;FR60","STANDARD"
"relief valve","conventional relief valve","A pressure relief valve that has its closing force provided by a spring.","no","CFIHOS-30000815","yes","Identified as part of RDL Alignment Activity","conventional pressure safety valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"mechanical equipment class","cyclone separator","A separator intended to separate by rotation based on difference in densities","yes","CFIHOS-30000816","yes","missing from CFIHOS - in other OO RDLs","cyclone","2019-10-01T00:47:46.434Z","2021-10-21T13:27:58.097Z","2021-10-21T13:27:58.097Z","CR0013;CR0029;FR60;FR74","TERMINATED"
"control valve","diaphragm control valve","A diaphragm valve that is equipped with an actuator that manipulates a stream of fluid in the response to a signal from an external sensing element and with input of energy from an external source.","no","CFIHOS-30000817","yes","Identified as part of RDL Alignment Activity","actuated diaphragm valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"manual valve","diaphragm valve","A membrane valve that is a membrane valve where the closure member is a resilient diaphragm being forced against a port.","no","CFIHOS-30000818","yes","Identified as part of RDL Alignment Activity",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"electric generator","direct current generator","An electric generator for the production of direct current and voltage.","no","CFIHOS-30000819","yes","BP Tagging Specification","DC electric generator; DC generator","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0009;CR0029;FR60","STANDARD"
"electric motor","direct current motor","An electric motor for operation by direct current.","no","CFIHOS-30000820","yes","BP Tagging Specification","DC electric motor","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0009;CR0029;FR60","STANDARD"
"process column","distillation column","A process column intended to enable a distillation process.","no","CFIHOS-30000821","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0013;CR0029;FR60","STANDARD"
"manual valve","double block and bleed valve","A block and bleed valve that is incorporating two seats, each of which provides a seal, and a means of venting the space between the seats. The seats may isolate with the pressure differential acting in the same or in opposite directions depending on the design.","no","CFIHOS-30000822","yes","Identified as part of RDL Alignment Activity",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"transformer","dry transformer","A power transformer of which the magnetic circuit and windings are not immersed in an insulating liquid.","no","CFIHOS-30000823","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0012;CR0029;FR60","STANDARD"
"control valve","eccentric rotating disc control valve","A control valve that uses a rotating disc as closing element, and with a design that causes the disc to take a slightly eccentric path during actuation.","no","CFIHOS-30000824","yes","Identified as part of RDL Alignment Activity","actuated eccentric rotating disc valve","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
"manual valve","eccentric rotating disc valve","A valve that has a closing member which is an eccentric rotating disc.","no","CFIHOS-30000825","yes","Identified as part of RDL Alignment Activity",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0011;CR0029;FR60","STANDARD"
