"tag class name","tag class CFIHOS unique ID","equipment class name","equipment class CFIHOS unique ID","reason for mapping","created date","modified date","terminated date","change request number","status"
"water cooler","CFIHOS-30000279","water cooler","CFIHOS-30000279",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"water desalination system","CFIHOS-30000280","water desalination system","CFIHOS-30000280",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"water maker","CFIHOS-30000281","water maker","CFIHOS-30000281",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"water mist skid","CFIHOS-30000934","fire extinguisher","CFIHOS-30000512",,"2020-11-23T16:52:08.931Z","2020-11-27T15:31:21.346Z",,"CR0031","STANDARD"
"water mist skid","CFIHOS-30000934","water mist skid","CFIHOS-30000934",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"watercraft","CFIHOS-30000633","barge","CFIHOS-30000881",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"watercraft","CFIHOS-30000633","marine vessel","CFIHOS-30000902",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"weight transmitter","CFIHOS-30000380","weight transmitter","CFIHOS-30000380",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"welding set","CFIHOS-30000381","welding set","CFIHOS-30000381",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"well","CFIHOS-30000283","well","CFIHOS-30000283",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"wellhead","CFIHOS-30000284","wellhead","CFIHOS-30000284",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"wet transformer","CFIHOS-30000877","wet transformer","CFIHOS-30000877",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"winch","CFIHOS-30000285","winch","CFIHOS-30000285",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"wind sensor","CFIHOS-30000492","wind sensor","CFIHOS-30000492",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
